date,source,description,category,amount,gross,month
2026-04-17,TCB,DDA REGULAR DEPOSIT,grant_income,2029.13,2029.13,2026-04
2026-04-24,PayPal,Bank Deposit to PP Account,internal_transfer,41.0,41.0,2026-04
2026-04-24,PayPal,Website Payment,internal_transfer,-41.0,-41.0,2026-04
2026-04-25,PayPal,Subscription Payment,recurring_income,52.0,53.56,2026-04
2026-04-27,TCB,INST XFER  PAYPAL WEB,internal_transfer,-41.0,-41.0,2026-04
2026-04-28,PayPal,Mass Pay Payment,recurring_income,50.0,50.0,2026-04
2026-05-01,PayPal,Express Checkout Payment,recurring_income,48.01,50.0,2026-05
2026-05-18,TCB,DDA REGULAR DEPOSIT,grant_income,2100.0,2100.0,2026-05
2026-05-25,PayPal,Subscription Payment,recurring_income,52.0,53.56,2026-05
2026-05-28,PayPal,Express Checkout Payment,recurring_income,18.91,20.0,2026-05
